@relation DailyVolumeBooth01-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Add-TDAT-NDate-C1-W1.0-weka.filters.unsupervised.attribute.Add-NItemsPerDay-Clast-W1.0

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute DailyVolB1 numeric
@attribute ItemsPerDay numeric

@data
2022-10-14T05:30:20,258,139
2022-10-15T02:13:12,215,145
2022-10-16T12:13:12,222,152
2022-10-17T23:01:45,219,147
2022-10-18T14:03:26,196,137
2022-10-19T13:04:29,220,140
2022-10-20T23:02:46,251,156
2022-10-21T18:05:27,191,143
2022-10-22T21:08:24,205,137
2022-10-23T12:03:08,200,154
2022-10-24T06:23:13,189,146
2022-10-25T04:03:45,182,134
2022-10-26T10:09:08,238,155
2022-10-27T03:01:12,237,151
2022-10-28T16:04:24,216,148
2022-10-29T13:04:54,201,158
2022-10-30T12:13:51,183,139
2022-11-01T21:03:55,212,156
2022-11-02T18:07:13,253,142
2022-11-03T16:05:51,219,155
2022-11-04T13:09:47,248,138
2022-11-05T15:09:09,243,134
2022-11-06T21:08:42,234,148
2022-11-07T22:07:42,215,136
2022-11-08T13:07:32,180,152
2022-11-09T23:06:34,222,139
2022-11-10T15:02:13,229,158
2022-11-11T20:09:02,242,152
2022-11-12T17:06:02,217,155
2022-11-13T03:10:59,257,149
2022-11-14T12:05:03,190,135
2022-11-15T12:12:15,198,139
2022-11-16T02:05:55,241,147
2022-11-17T02:02:34,226,146
2022-11-18T03:11:45,206,141
2022-11-19T09:04:27,257,137
2022-11-20T23:12:33,230,145
2022-11-21T03:11:25,210,155
2022-11-22T09:05:22,250,139
2022-11-23T14:10:39,214,146
2022-11-24T23:11:46,187,149
2022-11-25T13:02:45,228,152
2022-11-26T02:09:12,192,139
2022-11-27T14:02:39,195,146
2022-11-28T18:04:28,219,152
2022-11-29T02:02:09,248,147
2022-11-30T03:02:44,243,150
2022-12-01T04:02:35,236,135
2022-12-02T16:02:33,223,139
2022-12-03T14:14:12,214,145
